rank,name,inst,vote,old,recent,no_files
234,Gd Team,167789,104134,38208,18056,7391
235,Debian Printing Group,166864,21640,132109,8040,5075
236,Jan Dittberner,165665,108112,29423,26827,1303
237,Balint Reczey,164812,6974,44529,11139,102170
238,Openjdk Team,164775,11027,41739,18847,93162
239,Michael Vogt,160305,58671,80670,20637,327
240,Debian Haskell Group,160220,16025,96088,8481,39626
241,Debian Xen Team,157682,48887,5750,1168,101877
242,Peter Pentchev,152226,79933,38717,18160,15416
243,Roland Rosenfeld,149953,7855,117309,18995,5794
244,Hideki Yamane,149845,29463,89516,22997,7869
245,Changzhuo Chen,143648,26665,77899,38917,167
246,Damyan Ivanov,143007,8649,109480,21346,3532
247,Olly Betts,141197,30047,75076,18985,17089
248,Kartik Mistry,138779,27285,38344,18201,54949
249,Aptitude Development Team,137501,23070,94922,4152,15357
250,Thomas Goirand,137424,21012,86502,28526,1384
251,Paride Legovini,137385,21441,91755,24125,64
252,Tanguy Ortolo,131915,88436,12301,14523,16655
253,Debian Mobcom Maintainers,131659,59391,10488,7269,54511
254,Ritesh Raj Sarraf,130210,83624,21273,23517,1796
255,Debian Bsdmainutils Team,129543,6358,104763,4139,14283
256,Debian Rust Maintainers,129207,45716,24056,19189,40246
257,Lorenzo Puliti,128586,24626,87235,16485,240
258,Debian Gnustep Maintainers,127868,14823,79502,18196,15347
259,Guus Sliepen,127534,38321,22157,9467,57589
260,Paul Slootman,127369,57151,60926,9249,43
261,Debian Xml-sgml Group,126113,48821,62367,14880,45
262,Debian Lynx Packaging Team,124143,9976,73251,38995,1921
263,Debian Opencl Maintainers,120777,58507,10922,8326,43022
264,Kurt Roeckx,120309,15063,46481,6341,52424
265,Andreas Bombe,119809,41071,59994,18700,44
266,Net-tools Team,119622,33743,79926,5903,50
267,Dns-root-data Packagers,118918,2040,217,15,116646
268,Graham Inggs,118320,13879,16278,2695,85468
269,Debian Wpasupplicant Maintainers,116654,76591,21476,18561,26
270,Luca Boccassi,116635,12842,3700,435,99658
271,John Stamp,116362,14068,3947,570,97777
272,Daniel Baumann,116307,43134,51151,12324,9698
273,Ceph Packaging Team,116044,33515,24267,8540,49722
274,Bret Curtis,115822,1016,339,34,114433
275,Simon Kelley,115254,22603,70859,21697,95
276,Debian Common Lisp Team,114222,1198,5922,786,106316
277,David Suárez,113887,54301,20678,11558,27350
278,Keng-yu Lin,112793,8153,1216,170,103254
279,Debian Go Packaging Team,112121,53700,31711,6524,20186
280,Peter Piwowarski,112032,5866,7690,2138,96338
281,Martin Pitt,110927,56138,37380,16880,529
282,Sven Hoexter,109515,7932,78803,22746,34
283,Android Tools Maintainers,108497,19428,56355,8987,23727
284,A. Maitland Bottoms,108172,40924,19063,8509,39676
285,Chris Boot,107929,13531,72406,21960,32
286,Niibe Yutaka,107370,21280,41713,17497,26880
